,Zonghe,Gongyongshiye,Caijue,Shangyemaoyi,qinggongzhizao,Xinxifuwu,Jiaotongyunshu,Xinxishebei,Dianzzi,Shipinyinliao,Jinrongfuwu,Jiaoyunshebei,Canyinlvyou,Huagong,Jiayongdianqi,Nonglinmuyu,Fangdichan,Fangzhifuzhuang,Jixieshebei,Yousejinshu,Jianzhujiancai,Heisejinshu,Yiyaoshengwu,Guofangjungong,Gangtie
2022-07-22,1.021588417705268,1.2666677714986478,1.5797201239393266,0.9321926014677263,1.042864476386034,0.8227764101466338,1.1305177089788263,0.7955113501949115,0.9356755195655201,0.8814007710519566,0.8558899599087402,0.9700129635169586,0.8073688046283388,1.1846669740537363,0.6996496786030836,0.8842327954103716,0.8909134703940367,1.0726136634134698,1.0581249490917963,1.206097306326999,1.0687965610826775,1.1511195008127497,0.8155355821084911,0.8572481246852398,1.1508637135076116
2022-07-21,1.0288569792016435,1.2597487612071376,1.5809959699467386,0.931106784484051,1.042470299207976,0.8280370330728887,1.1199993561834556,0.801785585715313,0.9416541330822876,0.8817007134630137,0.8518401837389036,0.9625150172609459,0.7951365490113849,1.1939053527266625,0.6984082845672371,0.8862962519084358,0.8949516131317558,1.0801832896929269,1.0545817382096592,1.2127531843808725,1.0727218083459331,1.161763934770067,0.8239906947234852,0.8593050070241484,1.1572883912869973
2022-07-20,1.040698018921962,1.2769758538970166,1.6227546122845744,0.935300284558935,1.0484471252566705,0.8323343679760247,1.1287311180679065,0.8104769447558693,0.9381884876058176,0.8897431693114907,0.8630952078495533,0.9744148610339467,0.8111250879793928,1.211862346481116,0.7057573372594483,0.8974628864421518,0.9017031044107844,1.080290407045938,1.0652928239797983,1.2246163082063057,1.0865102639296202,1.1721147291699412,0.8268711007719151,0.8756487396294442,1.1665416814675462
2022-07-19,1.0338639909933043,1.2815332858255561,1.6184005346402315,0.9313563975837467,1.0368051481372806,0.8274376538585035,1.1206512204347372,0.8029324336833865,0.9328062351612999,0.8846681437164049,0.8585881169302999,0.9636546671035316,0.7898777523199093,1.205239552332648,0.7051465713938119,0.8942218007305458,0.8996415262762648,1.0643299214472712,1.05133175857294,1.210847776153685,1.0842425456731222,1.1645325363116747,0.8172316802368618,0.8375752113870714,1.1507233792489493
2022-07-18,1.0247881648857375,1.291451914950032,1.612345328986006,0.9270256103040301,1.0222297594602494,0.8095633094295192,1.1177942845186266,0.7922662332987039,0.9335863804633624,0.8840702585103646,0.8553361009344462,0.9607343143819054,0.7854475842480683,1.1944418828855257,0.7061818940197079,0.8934870851592654,0.895709650452696,1.0500119019281091,1.0595177975075332,1.206201712257256,1.086173293746928,1.1673535734885403,0.8224003383736915,0.8317173377156954,1.1489867427980027
2022-07-15,1.0003357759386913,1.2527468885169268,1.5597318698232037,0.9153312365832971,0.9966724112642975,0.7857165792571976,1.0977796376922397,0.7765857873137004,0.9253460957103271,0.8866637605579715,0.8424398250008891,0.9462655099220756,0.7786513320454637,1.1686884352600906,0.6959304620716875,0.8916841660978254,0.870736925627328,1.026588907402996,1.0431945915125833,1.1766417832532885,1.0667747399865228,1.148287976508833,0.8135264883155336,0.8291515360352012,1.1303047446135772
2022-07-14,1.0320468506192104,1.2728078752423706,1.5707689503635145,0.9424142579002559,1.0220097535934263,0.8037782296906772,1.12292872146082,0.7919988068666868,0.9319360730936147,0.8872916400051176,0.852038353463651,0.944152409172281,0.7839700296010093,1.1869639937963692,0.7101493893582732,0.9078739624096575,0.9071014636496298,1.0526184241847145,1.055673210067605,1.1980841511797866,1.0992422724540554,1.1867337842797938,0.8319128687744529,0.8410634293741892,1.1609940928048001
2022-07-13,1.0130755100831539,1.3009728045607445,1.5735029060936832,0.939818281663423,1.0242556468172455,0.8071069249705659,1.1301958007065889,0.7844645814262046,0.918062239092032,0.8922526874840017,0.8675667298438524,0.929944774468044,0.7742785689683562,1.185547218845621,0.7264563414131526,0.911818499200149,0.9200872805588212,1.0574268031421057,1.0415085118514285,1.1974055126331171,1.1140871750969945,1.200419485082059,0.8207592259701809,0.821925941633314,1.1717208927013036
2022-07-12,1.003535523119161,1.2857344094396825,1.5835476619615623,0.9350756327692091,1.0099369316515079,0.8040618644974844,1.109770720833099,0.7770229266737284,0.9180734911877347,0.8875655874072166,0.8815961301009648,0.9255476254920667,0.765909919083915,1.179310055748836,0.7310221886769961,0.9084836200113584,0.9102186264647112,1.0506069983337267,1.022252993402296,1.1942863854666939,1.1037594943625817,1.1989198259136882,0.8222692185682564,0.8262729610093578,1.1750187477798688
2022-07-11,1.0269707084872308,1.2802157736862148,1.5734421515219015,0.9425515451050885,1.0267398797301233,0.814947019158728,1.111243451178587,0.78564228629028,0.9361181019964979,0.8931725108779102,0.8794162631287442,0.944005204400947,0.7799991014870378,1.1883723854633852,0.7241274862019047,0.9227089640510434,0.9077390651345327,1.0666626993572925,1.0300643479677434,1.2176211108790973,1.0890876304621062,1.1906559697970713,0.8449317965528182,0.8384181090465724,1.16890543663689
2022-07-08,1.0456457761362066,1.2660048723090416,1.6136819295651994,0.9454220957515864,1.0481537841009065,0.8292143851011448,1.1179552386547458,0.8075866821636843,0.9598150155466468,0.9110210839518799,0.8818552751256344,0.9690347640687391,0.7954061028996998,1.2131869053108095,0.7201177834661205,0.9327083908686828,0.9193575810816543,1.0841704356105655,1.0412071352936374,1.2551028398413024,1.090344438170527,1.206627864296573,0.8457396637411443,0.8480186603758593,1.1870304832322494
